op_name, stream_id, start_time(ms), duration(ms)
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614287.90474,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614287.90604,0.00108
Default/AtomicAddrClean-op28,4,3189614287.90723,0.00114
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614287.90849,0.00107
Default/Mul-op7,4,3189614287.90967,0.00111
Default/AtomicAddrClean-op29,4,3189614287.91089,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614287.91219,0.00121
Default/AtomicAddrClean-op30,4,3189614287.91351,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614287.91481,0.00119
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614287.91611,0.00118
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614287.91741,0.00122
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614289.53488,0.0044
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614289.53959,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614289.54089,0.00109
Default/AtomicAddrClean-op28,4,3189614289.54236,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614289.54392,0.0011
Default/Mul-op7,4,3189614289.54537,0.0011
Default/AtomicAddrClean-op29,4,3189614289.54685,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614289.54815,0.00119
Default/AtomicAddrClean-op30,4,3189614289.54945,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614289.55099,0.00116
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614289.55253,0.00119
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614289.55383,0.00122
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614291.13837,0.00439
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614291.14287,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614291.14417,0.00109
Default/AtomicAddrClean-op28,4,3189614291.14537,0.00112
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op9,4,3189614291.1466,0.00106
Default/Mul-op7,4,3189614291.14778,0.00115
Default/AtomicAddrClean-op29,4,3189614291.14904,0.00118
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op12,4,3189614291.15034,0.0012
Default/AtomicAddrClean-op30,4,3189614291.15165,0.00119
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op11,4,3189614291.15295,0.00119
Default/optimizer-Momentum/ApplyMomentum-op16,4,3189614291.15425,0.00118
Default/optimizer-Momentum/ApplyMomentum-op18,4,3189614291.15555,0.00117
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26,4,3189614292.91247,0.0044
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op6,4,3189614292.91698,0.00119
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op8,4,3189614292.91828,0.00109
Default/AtomicAddrClean-op28,4,3189614292.91948,0.00119
